Сгенерируй PostresSQL запрос, создающий следующую таблицу
Также добавь колонки долготы и широты, а в ней для каждой области, республики и автономного округа укажи координаты главного города (для Московской и Ленинградской областей можешь использовать Балашиху и Колтуши), а для Российской Федерации сделай центральную точку

	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Ульяновская область	122 367,0	149 579,4	187 878,4	193 488,8	211 141,6	248 994,5	276 341,6	276 461,5	271 072,9	379 810,5	358 519,6	421 216,7	461 421,3	539 200,1	694 805,6
Уральский федеральный округ	4 986 333,1	6 539 500,4	7 239 168,9	7 223 854,2	7 284 338,5	7 969 608,0	8 362 075,5	9 828 075,0	12 135 271,6	15 351 992,7	13 221 826,3	18 586 110,9	22 803 832,2	22 980 138,9	27 545 776,5
Курганская область	66 410,6	64 743,1	76 999,2	88 971,1	80 257,8	157 501,5	131 740,1	130 943,4	140 345,6	198 473,2	165 361,2	208 398,6	249 349,8	318 096,6	428 974,1
Свердловская область	1 034 948,0	1 289 531,4	1 500 366,3	1 500 071,5	1 525 964,6	1 399 111,7	1 673 312,6	1 884 832,1	2 213 908,3	2 685 003,8	2 860 346,3	3 287 569,8	3 613 516,0	4 199 929,4	5 073 219,3
Тюменская область	3 087 160,8	4 188 147,4	4 691 972,3	4 699 493,3	4 556 414,2	5 200 766,1	5 183 565,6	6 375 213,7	8 119 326,7	10 683 164,3	8 423 727,9	12 515 034,5	16 415 540,8	15 468 257,5	18 793 642,3
Ханты-Мансийский автономный округ - Югра	1 983 085,5	2 676 734,6	2 876 513,7	3 085 838,6	2 993 431,0	2 952 087,5	2 989 128,4	3 605 585,4	4 360 573,0	5 753 651,5	4 028 287,3	6 241 992,3	7 393 271,2	7 678 242,9	9 785 459,9
Ямало-Ненецкий автономный округ	536 597,5	663 352,6	888 189,2	861 273,7	959 694,5	1 187 260,6	1 188 795,4	1 719 147,7	2 495 905,9	2 782 046,8	3 042 207,2	5 106 853,3	6 872 923,2	5 559 759,5	6 519 064,9
Тюменская область без АО	567 477,7	848 060,2	927 269,4	752 381,0	603 288,6	1 061 418,0	1 005 641,8	1 050 480,7	1 262 847,8	2 147 465,9	1 353 233,4	1 166 188,9	2 149 346,4	2 230 255,2	2 489 117,5
Челябинская область	797 813,8	997 078,5	969 831,0	935 318,4	1 121 701,9	1 212 228,7	1 373 457,1	1 437 085,8	1 661 691,1	1 785 351,4	1 772 390,9	2 575 107,9	2 525 425,6	2 993 855,4	3 249 940,7
Сибирский федеральный округ	2 926 084,1	3 879 377,7	4 217 779,2	4 316 418,2	5 114 860,5	5 348 850,6	5 713 367,5	6 740 122,1	7 989 309,3	9 742 109,3	10 328 484,5	12 758 303,3	12 959 442,3	13 493 985,3	14 855 289,4
Республика Алтай 	4 041,4	5 792,2	4 884,9	4 469,7	5 011,5	7 627,7	6 254,7	6 210,7	8 766,6	13 979,3	14 384,3	14 584,9	17 528,7	18 641,2	27 414,3
Республика Тыва	5 516,6	7 368,9	6 390,0	10 289,2	12 857,2	16 117,5	20 149,6	31 365,7	35 527,1	43 540,5	37 328,6	43 484,4	49 340,4	56 987,7	66 634,2
Республика Хакасия	71 821,5	84 252,5	104 521,8	105 885,0	210 587,0	155 194,9	166 945,8	194 133,7	217 082,7	237 765,6	260 966,1	346 408,0	428 735,2	403 747,4	439 861,6
Алтайский край	167 335,6	233 847,2	226 965,3	228 576,3	236 547,7	297 914,7	293 767,4	361 621,5	347 618,3	422 779,8	432 709,2	578 799,6	656 050,0	711 511,9	877 936,7
Красноярский край	915 088,9	1 039 502,5	1 052 418,3	1 062 682,6	1 233 341,3	1 487 292,6	1 534 153,6	1 905 083,8	2 255 566,7	3 036 251,3	2 966 893,0	3 340 022,1	3 663 909,2	4 055 984,6	4 405 040,6
Иркутская область	424 113,6	502 180,1	525 109,5	768 426,2	692 416,1	785 006,4	877 355,6	939 352,1	1 163 936,1	1 539 422,6	2 467 748,0	3 004 853,2	2 224 371,1	2 473 358,4	2 911 192,0
Кемеровская область- Кузбасс	701 574,0	948 658,2	943 769,9	865 906,7	1 326 581,1	1 103 444,7	1 202 851,8	1 511 566,2	1 853 934,7	1 756 498,8	1 651 882,5	2 630 373,4	3 296 820,3	2 656 744,9	2 500 147,1
Новосибирская область	278 148,5	297 660,6	331 230,6	364 072,1	389 922,5	423 243,4	500 171,5	544 045,9	624 233,7	831 255,8	802 580,5	1 038 319,0	1 146 753,6	1 464 364,9	1 721 920,6
Омская область	156 654,1	497 627,5	587 279,2	612 637,0	692 896,8	728 091,4	768 255,6	871 821,7	1 051 754,2	1 160 123,7	1 049 097,8	1 122 349,7	793 117,8	913 428,0	1 045 127,8
Томская область	201 789,9	262 487,9	435 209,6	293 473,5	314 699,3	344 917,3	343 461,9	374 920,8	430 889,1	700 491,9	644 894,3	639 108,9	682 816,0	739 216,3	860 014,5
Дальневосточный федеральный округ	1 195 958,1	1 583 130,5	1 682 095,3	1 786 344,0	2 093 533,3	2 268 034,9	2 576 152,6	2 827 521,2	3 403 885,5	4 709 908,9	4 921 591,3	6 079 577,7	6 629 015,2	7 755 380,1	9 236 885,8
Республика Бурятия	64 553,4	83 507,5	77 654,7	96 108,6	103 442,1	125 795,5	92 635,7	100 276,0	119 332,1	174 790,5	210 268,4	230 468,8	323 436,9	333 590,2	351 579,4
Республика Саха (Якутия)	206 103,1	316 035,0	306 004,5	319 917,6	389 836,6	427 793,2	716 265,6	705 941,4	925 492,9	1 189 421,4	1 122 352,6	1 704 346,8	2 020 406,4	2 191 822,0	2 558 464,9
Забайкальский край	56 286,5	78 101,6	95 385,9	114 811,9	111 594,0	117 522,5	134 961,2	138 378,3	175 950,0	221 041,8	304 469,0	353 745,4	393 037,7	449 877,0	631 894,7
Камчатский край	28 699,6	38 747,1	37 899,1	42 524,5	48 251,7	56 814,1	64 387,2	72 645,6	99 164,9	173 427,1	119 738,3	150 449,6	163 286,0	193 251,2	200 571,9
Приморский край	152 889,8	184 366,1	199 371,7	229 399,2	241 781,5	236 387,6	247 225,1	293 528,9	315 437,9	598 038,7	606 634,0	781 892,1	864 380,8	948 966,9	1 153 682,5
Хабаровский край	149 912,1	173 745,2	175 892,6	209 613,3	237 455,4	273 490,1	293 960,5	311 053,7	364 708,8	573 724,5	603 856,1	762 307,8	722 730,4	906 675,4	1 072 571,4
Амурская область	78 251,4	107 397,1	123 093,8	113 221,3	110 644,5	196 748,2	164 560,7	196 668,4	156 650,1	237 316,6	319 250,8	373 962,3	424 048,6	661 329,0	764 241,8
Магаданская область	46 252,1	55 140,1	64 017,1	61 382,2	66 368,7	83 686,9	86 456,0	132 407,4	139 333,6	203 908,2	280 715,7	310 727,0	282 413,3	347 432,9	552 603,0
Сахалинская область	375 097,2	501 666,3	555 681,5	556 389,0	709 512,2	666 481,7	677 439,0	789 985,1	1 017 264,8	1 210 132,6	1 180 683,4	1 206 864,7	1 276 813,5	1 472 475,2	1 657 953,9
Еврейская автономная область	4 953,3	4 942,2	4 776,1	5 562,6	7 219,8	7 122,3	10 018,8	13 741,8	17 037,2	22 818,7	36 415,2	52 315,8	41 136,0	54 771,1	55 779,1
Чукотский автономный округ	32 959,7	39 482,2	42 318,3	37 413,8	67 426,8	76 192,9	88 242,7	72 894,5	73 513,2	105 288,7	137 207,7	152 497,6	117 325,7	195 189,2	237 543,2
